Time            Gimbal Pitch     Elbow Pitch     Wrist Pitch

0.203022003174   -0.0078125      -0.015625      -0.015625
0.243080854416   -0.015625      -0.015625      -0.015625
0.243353843689   -0.0078125      -0.015625      -0.015625
0.282997846603   -0.0078125      -0.015625      -0.015625
0.306521892548   -0.015625      -0.015625      -0.015625
0.343151807785   -0.015625      -0.015625      -0.015625
0.382958889008   -0.0078125      -0.015625      -0.015625
0.422947883606   -0.0078125      -0.015625      -0.015625
0.46306681633   -0.0078125      -0.015625      -0.015625
0.502950906754   -0.015625      -0.015625      -0.015625
0.543095827103   -0.0078125      -0.015625      -0.015625
0.543368816376   -0.015625      -0.015625      -0.015625
0.582948923111   -0.0078125      -0.015625      -0.015625
0.604201793671   -0.0078125      -0.015625      -0.015625
0.643059968948   -0.0078125      -0.015625      -0.015625
0.68297290802   -0.015625      -0.015625      -0.015625
0.723079919815   -0.015625      -0.015625      -0.015625
0.763109922409   -0.0078125      -0.015625      -0.015625
0.803080797195   -0.015625      -0.015625      -0.015625
0.843122959137   -0.0078125      -0.015625      -0.015625
0.843397855759   -0.015625      -0.015625      -0.015625
0.883002996445   -0.015625      -0.015625      -0.015625
0.905128955841   -0.0078125      -0.015625      -0.015625
0.943061828613   -0.015625      -0.015625      -0.015625
0.983012914658   -0.015625      -0.015625      -0.015625
1.02325487137   -0.015625      -0.015625      -0.015625
1.06300187111   -0.015625      -0.015625      -0.015625
1.10298395157   -0.015625      -0.015625      -0.015625
1.14327096939   -0.0078125      -0.015625      -0.015625
1.14370083809   -0.0078125      -0.015625      -0.015625
1.18317079544   -0.0078125      -0.015625      -0.015625
1.20628190041   -0.015625      -0.015625      -0.015625
1.24300599098   -0.015625      -0.015625      -0.015625
1.28314995766   -0.015625      -0.015625      -0.015625
1.32323884964   -0.0078125      -0.015625      -0.015625
1.36304497719   -0.0078125      -0.015625      -0.015625
1.40302181244   -0.0078125      -0.015625      -0.015625
1.44307398796   -0.015625      -0.015625      -0.015625
1.44334483147   -0.0078125      -0.015625      -0.015625
1.48303198814   -0.015625      -0.015625      -0.0234375
1.50795602798   -0.0078125      -0.015625      -0.015625
1.54696989059   -0.0078125      -0.015625      -0.015625
1.58696985245   -0.0078125      -0.015625      -0.015625
1.62698197365   -0.0078125      -0.015625      -0.015625
