Time           Y-Position    Roll  PID   P   I    D          Error

0.214485168457 502.551422119 1490 1490 -0.0 0.0 0.00653228759766 -0.0
0.264163017273 502.527832031 1490 1489 -0.0 0.0 -0.00184936523437 -0.0
0.314373016357 502.51574707 1490 1490 -0.0 0.0 0.00144195556641 -0.0
0.363680124283 502.48550415 1490 1490 -0.0 0.0 0.00252685546875 -0.0
0.41323018074 502.482299805 1490 1489 -0.0 0.0 -0.00428924560547 -0.0
0.462901115417 502.512207031 1490 1489 -0.0 0.0 -0.000892639160156 -0.0
0.512675046921 502.49420166 1490 1489 -0.0 0.0 -0.00447235107422 -0.0
0.562376022339 502.501739502 1490 1490 -0.0 0.0 0.00850067138672 -0.0
0.612128019333 502.510009766 1490 1489 -0.0 0.0 -0.00124053955078 -0.0
0.661659002304 502.531524658 1490 1489 -0.0 0.0 -0.00322723388672 -0.0
0.711591959 502.555084229 1490 1489 -0.0 0.0 -0.00353393554687 -0.0
0.761152029037 502.535827637 1490 1490 -0.0 0.0 0.00288848876953 -0.0
0.811084032059 502.527648926 1490 1490 -0.0 0.0 0.00122680664062 -0.0
0.865633964539 502.519073486 1490 1490 -0.0 0.0 0.00124969482422 -0.0
0.915296077728 502.508575439 1490 1489 -0.0 0.0 -0.00254516601562 -0.0
0.964972019196 502.519378662 1490 1490 -0.0 0.0 0.00196380615234 -0.0
1.01496696472 502.526824951 1490 1490 -0.0 0.0 0.00604705810547 -0.0
1.06462717056 502.49899292 1490 1490 -0.0 0.0 6.86645507812e-05 -0.0
1.1144220829 502.487304688 1490 1489 -0.0 0.0 -0.000302124023438 -0.0
1.16439414024 502.486419678 1490 1489 -0.0 0.0 -0.00480194091797 -0.0
1.21395111084 502.555084229 1490 1490 -0.0 0.0 0.00787811279297 -0.0
1.26364207268 502.527130127 1490 1489 -0.0 0.0 -0.0076904296875 -0.0
1.31376409531 502.524780273 1490 1490 -0.0 0.0 0.00750274658203 -0.0
1.36340212822 502.532653809 1490 1489 -0.0 0.0 -0.00541076660156 -0.0
1.41319704056 502.486480713 1490 1490 -0.0 0.0 0.00574035644531 -0.0
1.46331214905 502.499938965 1490 1489 -0.0 0.0 -0.00178985595703 -0.0
1.51314210892 502.519256592 1490 1489 -0.0 0.0 -0.00505828857422 -0.0
1.56638503075 502.523529053 1490 1489 -0.0 0.0 -0.00346984863281 -0.0
1.61534309387 502.528656006 1490 1490 -0.0 0.0 0.0022705078125 -0.0
1.66498112679 502.540222168 1490 1489 -0.0 0.0 -0.00531921386719 -0.0
1.71473002434 502.500762939 1490 1490 -0.0 0.0 0.008349609375 -0.0
1.76443910599 502.529083252 1490 1489 -0.0 0.0 -0.00269165039063 -0.0
1.81419610977 502.524963379 1490 1489 -0.0 0.0 -0.000572204589844 -0.0
1.864164114 502.536010742 1490 1490 -0.0 0.0 0.0126068115234 -0.0
1.91380214691 502.525268555 1490 1489 -0.0 0.0 -0.0139205932617 -0.0
1.96346402168 502.481628418 1490 1489 -0.0 0.0 -0.00250396728516 -0.0
2.01374316216 502.534393311 1490 1490 -0.0 0.0 0.0140029907227 -0.0
2.06369709969 502.518066406 1490 1489 -0.0 0.0 -0.017024230957 -0.0
2.11333417892 502.498626709 1490 1490 -0.0 0.0 0.00896759033203 -0.0
2.1630589962 502.48538208 1490 1490 -0.0 0.0 0.00146942138672 -0.0
2.21286416054 502.514312744 1490 1489 -0.0 0.0 -0.00305786132813 -0.0
2.26243209839 502.508270264 1490 1490 -0.0 0.0 0.00249938964844 -0.0
2.31211996078 502.532592773 1490 1489 -0.0 0.0 -0.00507659912109 -0.0
2.36175918579 502.518768311 1490 1490 -0.0 0.0 0.0103454589844 -0.0
2.41187214851 502.484191895 1490 1489 -0.0 0.0 -0.00715484619141 -0.0
2.46152496338 502.522460938 1490 1489 -0.0 0.0 -0.00202789306641 -0.0
2.51120615005 502.523651123 1490 1490 -0.0 0.0 0.00519561767578 -0.0
2.56087112427 502.50958252 1490 1489 -0.0 0.0 -0.00157470703125 -0.0
2.61061096191 502.520446777 1490 1490 -0.0 0.0 0.0003662109375 -0.0
2.66035413742 502.503051758 1490 1489 -0.0 0.0 -0.000599670410156 -0.0
2.71000409126 502.453460693 1490 1489 -0.0 0.0 -0.00533752441406 -0.0
2.75960707664 502.520507812 1490 1490 -0.0 0.0 0.0103546142578 -0.0
2.8097910881 502.527587891 1490 1489 -0.0 0.0 -0.00876159667969 -0.0
2.86003708839 502.478790283 1490 1490 -0.0 0.0 0.00392303466797 -0.0
2.90967607498 502.566864014 1490 1489 -0.0 0.0 -0.00425262451172 -0.0
2.95933508873 502.507324219 1490 1490 -0.0 0.0 0.000384521484375 -0.0
3.00910997391 502.520446777 1490 1490 -0.0 0.0 0.00226135253906 -0.0
3.05900716782 502.526031494 1490 1489 -0.0 0.0 -0.00480194091797 -0.0
3.10859704018 502.553710938 1490 1490 -0.0 0.0 0.0134216308594 -0.0
3.15831017494 502.424255371 1490 1489 -0.0 0.0 -0.0112152099609 -0.0
3.20791697502 502.510192871 1490 1489 -0.0 0.0 -0.0052734375 -0.0
3.25774002075 502.530517578 1490 1490 -0.0 0.0 0.0202423095703 -0.0
3.30738115311 502.470245361 1490 1489 -0.0 0.0 -0.013330078125 -0.0
3.35816717148 502.529144287 1490 1490 -0.0 0.0 0.00477447509766 -0.0
3.40786910057 502.535339355 1490 1489 -0.0 0.0 -0.00191345214844 -0.0
3.45752000809 502.525817871 1490 1489 -0.0 0.0 -0.00482940673828 -0.0
3.50722312927 502.531829834 1490 1490 -0.0 0.0 0.00195007324219 -0.0
3.55754899979 502.490386963 1490 1489 -0.0 0.0 -0.00352478027344 -0.0
3.60696697235 502.51550293 1490 1490 -0.0 0.0 0.00248565673828 -0.0
3.65680408478 502.498260498 1490 1490 -0.0 0.0 0.00398712158203 -0.0
3.70646500587 502.563842773 1490 1489 -0.0 0.0 -0.0018310546875 -0.0
3.75610518456 502.457550049 1490 1489 -0.0 0.0 -0.00510406494141 -0.0
3.80598711967 502.446960449 1490 1490 -0.0 0.0 0.00932464599609 -0.0
3.85564804077 502.504119873 1490 1490 -0.0 0.0 0.00407409667969 -0.0
3.90539908409 502.523773193 1490 1489 -0.0 0.0 -0.00178527832031 -0.0
3.95513296127 502.515014648 1490 1489 -0.0 0.0 -0.0119201660156 -0.0
4.00494408607 502.471618652 1490 1490 -0.0 0.0 0.00486602783203 -0.0
4.05486297607 502.552642822 1490 1489 -0.0 0.0 -0.000151062011719 -0.0
4.10449695587 502.461242676 1490 1490 -0.0 0.0 0.00224304199219 -0.0
4.15415811539 502.50213623 1490 1489 -0.0 0.0 -0.00638580322266 -0.0
4.20402097702 502.525817871 1490 1490 -0.0 0.0 0.0050537109375 -0.0
4.25364804268 502.501251221 1490 1490 -0.0 0.0 0.00352935791016 -0.0
4.30333614349 502.507080078 1490 1489 -0.0 0.0 -0.00438079833984 -0.0
4.35302901268 502.523193359 1490 1489 -0.0 0.0 -0.000178527832031 -0.0
4.40270900726 502.579742432 1490 1490 -0.0 0.0 0.00976409912109 -0.0
4.45241308212 502.53427124 1490 1489 -0.0 0.0 -0.00870666503906 -0.0
4.50217008591 502.520446777 1490 1490 -0.0 0.0 0.00554351806641 -0.0
4.55188703537 502.528839111 1490 1490 -0.0 0.0 0.00242156982422 -0.0
4.60160517693 502.460479736 1490 1489 -0.0 0.0 -0.011979675293 -0.0
4.6516020298 502.53338623 1490 1490 -0.0 0.0 0.0087890625 -0.0
4.70115208626 502.523193359 1490 1489 -0.0 0.0 -0.00281066894531 -0.0
4.75078296661 502.567169189 1490 1489 -0.0 0.0 -0.00220642089844 -0.0
4.8003950119 502.516937256 1490 1489 -0.0 0.0 -0.0106842041016 -0.0
4.85021710396 502.523895264 1490 1490 -0.0 0.0 0.00849151611328 -0.0
4.90000510216 502.538269043 1490 1489 -0.0 0.0 -0.00220642089844 -0.0
4.94962596893 502.450531006 1490 1490 -0.0 0.0 0.00569458007812 -0.0
4.99938201904 502.457550049 1490 1489 -0.0 0.0 -0.00586395263672 -0.0
5.04903411865 502.519561768 1490 1490 -0.0 0.0 0.0124740600586 -0.0
5.09888100624 502.511322021 1490 1489 -0.0 0.0 -0.00843200683594 -0.0
5.14864706993 502.539978027 1490 1490 -0.0 0.0 0.00438995361328 -0.0
