Time Yaw_torque Pitch_torque Roll_torque Shoulder_pitch_torque Elbow_pitch_torque Wrist_pitch_torque shoulder_vel elbow_vel wrist_vel 

0.0665500164032 0 0 0 0 0 0 0 0 0
0.116644859314 -0.53125 -4.09375 2.5625 10.875 -13.34375 0.25 0.0 0.0 0.0
0.166635990143 -0.5625 -3.96875 2.5625 10.875 -13.28125 0.125 0.0 0.0 0.0
0.216637849808 -0.5625 -3.90625 2.53125 10.84375 -13.25 0.5 0.0 0.0 0.0
0.26663684845 -0.625 -3.90625 2.5 10.90625 -13.3125 0.5 0.0 0.0 0.0
0.316664934158 -0.59375 -3.96875 2.5625 10.90625 -13.34375 0.21875 0.0 0.0 0.0
0.36702299118 -0.5625 -4.0625 2.5 10.90625 -13.34375 0.4375 0.0 0.0 0.0
0.416656970978 -0.59375 -4.0625 2.46875 10.875 -13.34375 0.375 0.0 0.0 0.0
0.466639995575 -0.625 -4.0625 2.5 10.84375 -13.3125 0.375 0.0 0.0 0.0
0.516639947891 -0.59375 -3.96875 2.53125 10.875 -13.28125 0.28125 0.0 0.0 0.0
0.566653966904 -0.5625 -4.03125 2.59375 10.875 -13.3125 0.40625 0.0 0.0 0.0
0.616634845734 -0.59375 -3.96875 2.5625 10.84375 -13.34375 0.40625 0.0 0.0 0.0
0.666678905487 -0.59375 -3.96875 2.5625 10.875 -13.3125 0.4375 0.0 0.0 0.0
0.716638803482 -0.59375 -4.0 2.5625 10.90625 -13.25 0.375 0.0 0.0 0.0
0.766639947891 -0.5625 -3.96875 2.5625 10.90625 -13.28125 0.34375 0.0 0.0 0.0
0.816663980484 -0.59375 -4.03125 2.53125 10.9375 -13.25 0.40625 0.0 0.0 0.0
0.866935014725 -0.59375 -4.0625 2.5 10.9375 -13.28125 0.34375 0.0 0.0 0.0
0.916682004929 -0.625 -4.0625 2.46875 10.96875 -13.28125 0.40625 0.0 0.0 0.0
0.966638803482 -0.59375 -4.0625 2.53125 10.9375 -13.3125 0.46875 0.0 0.0 0.0
1.01663780212 -0.625 -4.0 2.5625 10.9375 -13.25 0.3125 0.0 0.0 0.0
1.06666994095 -0.65625 -4.03125 2.5625 10.84375 -13.34375 0.46875 0.0 0.0 0.0
1.1166498661 -0.65625 -3.9375 2.5625 10.90625 -13.34375 0.4375 0.0 0.0 0.0
1.1666469574 -0.65625 -4.03125 2.59375 10.875 -13.3125 0.25 0.0 0.0 0.0
1.21666097641 -0.625 -3.96875 2.5625 10.9375 -13.28125 0.46875 0.0 0.0 0.0
1.26664590836 -0.625 -4.03125 2.4375 10.84375 -13.25 0.5625 0.0 0.0 0.0
1.31718397141 -0.65625 -4.0625 2.46875 10.8125 -13.28125 0.3125 0.0 0.0 0.0
1.36663985252 -0.65625 -4.0 2.4375 10.8125 -13.21875 0.21875 0.0 0.0 0.0
1.41664791107 -0.6875 -4.03125 2.4375 10.8125 -13.25 0.4375 0.0 0.0 0.0
1.46666288376 -0.65625 -3.96875 2.53125 10.8125 -13.15625 0.5 0.0 0.0 0.0
1.51666593552 -0.6875 -3.9375 2.46875 10.8125 -13.15625 0.40625 0.0 0.0 0.0
1.56665802002 -0.65625 -4.0 2.4375 10.84375 -13.21875 0.3125 0.0 0.0 0.0
1.61666893959 -0.6875 -4.03125 2.40625 10.8125 -13.21875 0.21875 0.0 0.0 0.0
1.66664099693 -0.65625 -4.03125 2.4375 10.84375 -13.25 0.4375 0.0 0.0 0.0
1.71663784981 -0.625 -4.0625 2.4375 10.875 -13.3125 0.46875 0.0 0.0 0.0
1.76664280891 -0.6875 -4.0625 2.40625 10.90625 -13.28125 0.375 0.0 0.0 0.0
1.8166718483 -0.65625 -4.0625 2.40625 10.84375 -13.25 0.3125 0.0 0.0 0.0
1.86715698242 -0.5625 -3.96875 2.46875 10.875 -13.25 0.59375 0.0 0.0 0.0
1.91663980484 -0.625 -4.03125 2.5 10.84375 -13.28125 0.40625 0.0 0.0 0.0
1.96665287018 -0.625 -3.96875 2.5 10.84375 -13.21875 0.3125 0.0 0.0 0.0
2.01664590836 -0.625 -3.96875 2.46875 10.8125 -13.15625 0.28125 0.0 0.0 0.0
2.06664085388 -0.625 -4.0 2.53125 10.875 -13.25 0.59375 0.0 0.0 0.0
2.11663389206 -0.59375 -4.03125 2.46875 10.84375 -13.15625 0.40625 0.0 0.0 0.0
2.16663694382 -0.59375 -4.03125 2.5625 10.90625 -13.09375 0.21875 0.0 0.0 0.0
2.2166788578 -0.5625 -4.0 2.5625 10.875 -13.15625 0.5 0.0 0.0 0.0
2.26666092873 -0.59375 -4.0 2.59375 10.84375 -13.125 0.59375 0.0 0.0 0.0
2.31664180756 -0.59375 -3.9375 2.53125 10.84375 -13.03125 0.3125 0.0 0.0 0.0
2.36674880981 -0.59375 -3.9375 2.5 10.875 -13.09375 0.3125 0.0 0.0 0.0
2.4166560173 -0.5625 -4.0 2.53125 10.875 -13.03125 0.28125 0.0 0.0 0.0
2.46663594246 -0.53125 -3.9375 2.5 10.90625 -12.90625 0.375 0.0 0.0 0.0
2.5166349411 -0.5625 -4.0 2.46875 10.90625 -13.0 0.3125 0.0 0.0 0.0
2.5666539669 -0.625 -4.0 2.5 10.9375 -13.0625 0.59375 0.0 0.0 0.0
2.61663794518 -0.5625 -4.09375 2.53125 10.84375 -12.90625 0.375 0.0 0.0 0.0
2.66663694382 -0.53125 -4.0 2.46875 10.84375 -12.78125 0.34375 0.0 0.0 0.0
2.71663689613 -0.5625 -4.0 2.40625 10.84375 -12.8125 0.3125 0.0 0.0 0.0
2.76685881615 -0.65625 -4.0 2.4375 10.78125 -12.8125 0.4375 0.0 0.0 0.0
2.81664085388 -0.65625 -3.96875 2.46875 10.78125 -12.71875 0.34375 0.0 0.0 0.0
2.86664891243 -0.59375 -3.96875 2.46875 10.78125 -12.65625 0.59375 0.0 0.0 0.0
2.91664099693 -0.625 -4.03125 2.46875 10.8125 -12.59375 0.375 0.0 0.01171875 0.0
2.96664190292 -0.625 -4.03125 2.5 10.8125 -12.5625 0.28125 0.00390625 0.0 0.0
3.01664280891 -0.5625 -4.0625 2.46875 10.8125 -12.625 0.5625 0.00390625 0.0 0.0
3.06663990021 -0.59375 -4.0 2.5625 10.78125 -12.65625 0.4375 0.0 0.0 0.0
3.11665201187 -0.59375 -3.96875 2.5625 10.8125 -12.59375 0.34375 0.0 0.0 0.0
3.16664290428 -0.625 -4.0625 2.4375 10.8125 -12.4375 0.34375 0.0 0.0 0.0
3.21663880348 -0.5625 -4.03125 2.53125 10.75 -12.46875 0.3125 0.0 0.0 0.0
3.2666478157 -0.625 -4.03125 2.59375 10.78125 -12.5 0.46875 0.0 0.0 0.0
3.31666302681 -0.625 -4.03125 2.53125 10.78125 -12.5 0.5 0.0 0.0 0.0
3.36667394638 -0.625 -4.0 2.5625 10.71875 -12.5 0.3125 0.0 0.0 0.0
3.41663789749 -0.625 -4.03125 2.53125 10.78125 -12.5 0.4375 0.0 0.0 0.0
3.46664381027 -0.65625 -4.03125 2.53125 10.75 -12.5625 0.5 0.0 0.0 0.0
3.51663994789 -0.59375 -4.0 2.5 10.84375 -12.53125 0.1875 0.0 0.0 0.0
3.56684780121 -0.625 -4.0625 2.5625 10.875 -12.5625 0.46875 -0.00390625 0.0 0.0
3.61663484573 -0.625 -4.125 2.53125 10.96875 -12.84375 0.5625 -0.0703125 0.0 0.0
3.66663599014 -0.59375 -4.34375 2.5 11.0625 -13.03125 0.21875 -0.0859375 0.0 0.0
3.71669387817 -0.53125 -4.40625 2.5 10.90625 -12.8125 0.3125 -0.2421875 0.0 0.0
3.76668787003 -0.5 -4.5 2.46875 10.78125 -12.78125 0.5 -0.11328125 0.0 0.0
3.81690692902 -0.5625 -4.28125 2.46875 10.71875 -12.75 0.375 -0.15234375 0.0 0.0
3.86663985252 -0.59375 -4.125 2.5 10.84375 -12.8125 0.28125 -0.20703125 0.0 0.0
3.91664385796 -0.65625 -4.0 2.53125 10.90625 -12.84375 0.40625 -0.1875 0.0 0.0
3.96664190292 -0.625 -3.96875 2.53125 10.90625 -12.6875 0.5 -0.15234375 0.0 0.0
4.01664090157 -0.625 -4.03125 2.46875 10.875 -12.46875 0.4375 -0.296875 0.0 0.0
4.06664180756 -0.59375 -4.15625 2.53125 10.8125 -12.84375 0.25 -0.12109375 0.0 0.0
4.11669683456 -0.5625 -4.28125 2.53125 10.8125 -12.71875 0.28125 -0.2578125 0.0 0.0
4.16663789749 -0.5 -4.34375 2.46875 10.875 -12.84375 0.5 -0.109375 0.0 0.0
4.21665382385 -0.5625 -4.375 2.5625 11.15625 -13.0 0.34375 -0.19921875 0.0 0.0
4.26664090157 -0.5625 -4.34375 2.5 11.25 -12.78125 0.28125 -0.28125 0.0 0.0
4.31665086746 -0.53125 -4.34375 2.5625 11.25 -12.78125 0.375 -0.1484375 0.0 0.0
4.36664390564 -0.59375 -4.3125 2.46875 11.0 -12.75 0.5625 -0.14453125 0.0 0.0
4.41665792465 -0.625 -4.25 2.46875 10.9375 -12.78125 0.5 -0.20703125 0.0 0.0
4.46670293808 -0.5625 -4.15625 2.5 10.90625 -12.71875 0.28125 -0.18359375 0.0 0.0
4.51664686203 -0.5625 -4.21875 2.5625 11.125 -12.78125 0.46875 -0.12109375 0.0 0.0
4.56664180756 -0.59375 -4.40625 2.5625 11.53125 -12.90625 0.5 -0.1875 0.0 0.0
4.6166639328 -0.5625 -4.65625 2.625 11.59375 -12.90625 0.15625 -0.1953125 0.0 0.0
4.66665101051 -0.53125 -4.5625 2.5625 11.40625 -12.65625 0.4375 -0.19921875 0.0 0.0
4.7166428566 -0.5625 -4.6875 2.5625 11.46875 -12.84375 0.4375 -0.22265625 0.0 0.0
4.76664996147 -0.53125 -4.4375 2.59375 11.28125 -12.6875 0.4375 -0.20703125 0.0 0.0
4.81666302681 -0.5625 -4.1875 2.53125 11.25 -12.4375 0.3125 -0.0703125 0.0 0.0
4.86664199829 -0.625 -4.0625 2.46875 11.375 -12.4375 0.4375 -0.0703125 0.0 0.0
4.91664981842 -0.59375 -4.09375 2.53125 11.4375 -12.4375 0.4375 -0.015625 0.0 0.0
4.96663594246 -0.53125 -4.125 2.53125 11.53125 -12.65625 0.46875 0.0 0.0 0.0
5.01661491394 -0.59375 -4.40625 2.59375 11.5625 -12.75 0.1875 0.0 0.0 0.0
5.06663799286 -0.625 -4.53125 2.59375 11.5625 -12.4375 0.4375 0.0703125 0.0 0.0
