Time           X-Position    Pitch PID   P   I    D          Error

0.214720010757 85.8786697388 1480 1430 -0.0 0.0 -50 -0.0
0.264353990555 77.2462158203 1480 1454 -0.0 0.0 -25.8973617554 -0.0
0.314103841782 55.0403823853 1480 1430 -0.0 0.0 -50 -0.0
0.363798856735 40.4896354675 1480 1436 -0.0 0.0 -43.6522407532 -0.0
0.413475990295 20.6628513336 1480 1430 -0.0 0.0 -50 -0.0
0.463135004044 20.6628513336 1480 1480 -0.0 0.0 0.0 -0.0
0.512871026993 -16.7839603424 1480 1480 -0.0 0.0 0.0 -0.0
0.56258893013 -22.7263679504 1480 1430 -0.0 0.0 -50 -0.0
0.612332820892 -46.9775810242 1480 1430 -0.0 0.0 -50 -0.0
0.662122011185 -70.341583252 1480 1430 -0.0 0.0 -50 -0.0
0.711812973022 -75.3719940186 1480 1464 -0.0 0.0 -15.0912322998 -0.0
0.761448860168 -104.889175415 1480 1430 -0.0 0.0 -50 -0.0
0.811189889908 -118.834793091 1480 1438 -0.0 0.0 -41.8368530273 -0.0
0.86083984375 -118.834793091 1480 1480 -0.0 0.0 0.0 -0.0
0.910624027252 -181.044342041 1480 1430 -0.0 0.0 -50 -0.0
0.960278987885 -211.150924683 1431 1430 -0.0 0.0 -50 -0.0
1.01000094414 -226.175811768 1416 1381 -0.0 0.0 -50 -0.0
1.0598950386 -226.175811768 1410 1370 -0.0 0.0 -45.0746612549 -0.0
1.10973381996 -226.175811768 1410 1410 -0.0 0.0 0.0 -0.0
1.15938687325 -302.418518066 1410 1410 -0.0 0.0 0.0 -0.0
1.20916986465 -302.418518066 1410 1360 -0.0 0.0 -50 -0.0
1.2588968277 -302.418518066 1410 1409 -0.0 0.0 0.0 -0.0
1.30870294571 -302.418518066 1401 1410 -0.0 0.0 0.0 -0.0
1.35835695267 -302.418518066 1401 1401 -0.0 0.0 0.0 -0.0
1.40833592415 -302.418518066 1402 1401 -0.0 0.0 0.0 -0.0
1.45806193352 -302.418518066 1401 1402 -0.0 0.0 0.0 -0.0
1.50785088539 -302.418518066 1401 1401 -0.0 0.0 0.0 -0.0
1.55785703659 -302.418518066 1401 1401 -0.0 0.0 0.0 -0.0
1.60741782188 -302.418518066 1409 1401 -0.0 0.0 0.0 -0.0
1.65715098381 -302.418518066 1416 1409 -0.0 0.0 0.0 -0.0
1.7068669796 -302.418518066 1480 1445 -0.0 0.0 0.0 -0.0
1.75669693947 -302.418518066 1480 1480 -0.0 0.0 0.0 -0.0
1.80638504028 -302.418518066 1480 1480 -0.0 0.0 0.0 -0.0
1.85607099533 -302.418518066 1480 1480 -0.0 0.0 0.0 -0.0
1.90589094162 -302.418518066 1480 1480 -0.0 0.0 0.0 -0.0
1.95549082756 -302.418518066 1480 1480 -0.0 0.0 0.0 -0.0
2.00518202782 -302.418518066 1480 1480 -0.0 0.0 0.0 -0.0
2.05484700203 -374.660980225 1480 1480 -0.0 0.0 0.0 -0.0
2.10461997986 -374.660980225 1480 1430 -0.0 0.0 -50 -0.0
2.15455102921 -374.660980225 1480 1480 -0.0 0.0 0.0 -0.0
2.20428705215 -348.283233643 1480 1480 -0.0 0.0 0.0 -0.0
2.25397992134 -344.06741333 1480 1530 -0.0 0.0 50 -0.0
2.30367588997 -339.16494751 1480 1492 -0.0 0.0 12.6474609375 -0.0
2.35335898399 -339.16494751 1480 1494 -0.0 0.0 14.7073974609 -0.0
2.40310382843 -339.16494751 1480 1480 -0.0 0.0 0.0 -0.0
2.4528939724 -339.16494751 1480 1480 -0.0 0.0 0.0 -0.0
2.50258302689 -339.16494751 1480 1480 -0.0 0.0 0.0 -0.0
2.55234384537 -333.681060791 1480 1480 -0.0 0.0 0.0 -0.0
2.60207700729 -336.141204834 1480 1496 -0.0 0.0 16.4516601562 -0.0
2.65172290802 -336.141204834 1469 1472 -0.0 0.0 -7.38043212891 -0.0
2.7014439106 -336.141204834 1431 1469 -0.0 0.0 0.0 -0.0
2.75112295151 -336.141204834 1422 1431 -0.0 0.0 0.0 -0.0
2.8008480072 -364.59475708 1422 1422 -0.0 0.0 0.0 -0.0
2.85049891472 -364.59475708 1412 1372 -0.0 0.0 -50 -0.0
2.90020990372 -371.956695557 1409 1412 -0.0 0.0 0.0 -0.0
2.94997286797 -379.663208008 1396 1386 -0.0 0.0 -22.0858154297 -0.0
2.99961900711 -379.663208008 1396 1372 -0.0 0.0 -23.1195373535 -0.0
3.04938292503 -379.663208008 1381 1396 -0.0 0.0 0.0 -0.0
3.09907603264 -379.663208008 1381 1381 -0.0 0.0 0.0 -0.0
3.14884090424 -379.663208008 1381 1381 -0.0 0.0 0.0 -0.0
3.19855093956 -379.663208008 1381 1381 -0.0 0.0 0.0 -0.0
3.24819588661 -379.663208008 1381 1381 -0.0 0.0 0.0 -0.0
3.29789590836 -379.663208008 1381 1381 -0.0 0.0 0.0 -0.0
3.34765005112 -379.663208008 1401 1381 -0.0 0.0 0.0 -0.0
3.39744591713 -372.435272217 1412 1401 -0.0 0.0 0.0 -0.0
3.44705486298 -365.664611816 1421 1433 -0.0 0.0 21.683807373 -0.0
3.49672603607 -365.664611816 1460 1441 -0.0 0.0 20.3119812012 -0.0
3.54635500908 -365.664611816 1472 1460 -0.0 0.0 0.0 -0.0
3.59793686867 -296.384338379 1480 1530 -0.0 0.0 50 -0.0
3.64791989326 -282.010375977 1480 1523 -0.0 0.0 43.121887207 -0.0
3.69789195061 -251.691635132 1480 1530 -0.0 0.0 50 -0.0
3.7474758625 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
3.79758882523 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
3.84723997116 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
3.89710402489 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
3.94691205025 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
3.99679303169 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.04652285576 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.0964179039 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.14623093605 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.19580101967 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.24549484253 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.29516482353 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.34509801865 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.39487600327 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.44461989403 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.49450993538 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.54425191879 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.59399199486 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.6435790062 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.69339990616 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.74337601662 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.79307699203 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.84274101257 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.89239501953 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.94209599495 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
4.99178290367 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.04149985313 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.09124994278 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.14121890068 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.19107985497 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.24073505402 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.29061293602 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.34033989906 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.39001297951 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.43973994255 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.48943781853 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.53937292099 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.58900094032 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.63855099678 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.68824386597 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.73813390732 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.78775787354 -251.691635132 1480 1480 -0.0 0.0 0.0 -0.0
5.83854985237 -251.691635132 1456 1456 -0.0 0.0 0.0 -0.0
5.88833284378 175.282363892 1431 1481 -0.0 0.0 50 -0.0
5.93817901611 163.591918945 1422 1386 -0.0 0.0 -35.0713348389 -0.0
5.98766493797 151.63633728 1415 1377 -0.0 0.0 -38.0231323242 -0.0
6.03731298447 129.143081665 1410 1360 -0.0 0.0 -50 -0.0
6.08695483208 118.851173401 1410 1379 -0.0 0.0 -30.8757247925 -0.0
6.13680386543 108.814224243 1410 1379 -0.0 0.0 -30.1108474731 -0.0
6.1864130497 89.5224380493 1410 1360 -0.0 0.0 -50 -0.0
6.23610901833 89.5224380493 1410 1410 -0.0 0.0 0.0 -0.0
6.28574800491 82.6652832031 1410 1389 -0.0 0.0 -20.5714645386 -0.0
6.33536791801 82.6652832031 1429 1429 -0.0 0.0 0.0 -0.0
6.38500595093 49.9384269714 1439 1389 -0.0 0.0 -50 -0.0
6.43484091759 56.7014808655 1480 1500 -0.0 0.0 20.2891616821 -0.0
6.48447489738 56.7014808655 1480 1480 -0.0 0.0 0.0 -0.0
6.53409099579 56.7014808655 1480 1480 -0.0 0.0 0.0 -0.0
6.58389592171 43.6909484863 1480 1440 -0.0 0.0 -39.0315971375 -0.0
6.63363790512 54.2361679077 1480 1511 -0.0 0.0 31.6356582642 -0.0
6.68354701996 45.8041572571 1480 1454 -0.0 0.0 -25.2960319519 -0.0
6.73329496384 48.9360656738 1480 1489 -0.0 0.0 9.39572525024 -0.0
6.78313994408 50.4557800293 1480 1484 -0.0 0.0 4.55914306641 -0.0
6.83273386955 50.4250030518 1480 1479 -0.0 0.0 -0.0923309326172 -0.0
6.88239097595 51.8905944824 1480 1484 -0.0 0.0 4.39677429199 -0.0
6.93216395378 51.8895492554 1480 1479 -0.0 0.0 -0.00313568115234 -0.0
6.98196601868 48.2600021362 1480 1469 -0.0 0.0 -10.8886413574 -0.0
7.03187203407 45.822971344 1480 1472 -0.0 0.0 -7.31109237671 -0.0
7.08186483383 52.8016014099 1480 1500 -0.0 0.0 20.9358901978 -0.0
7.13155198097 36.2405967712 1480 1430 -0.0 0.0 -49.683013916 -0.0
7.18125486374 31.6949081421 1480 1466 -0.0 0.0 -13.6370658875 -0.0
7.23093891144 20.1054935455 1480 1445 -0.0 0.0 -34.7682437897 -0.0
7.2806789875 20.1054935455 1480 1480 -0.0 0.0 0.0 -0.0
7.33021998405 1.18015825748 1480 1430 -0.0 0.0 -50 -0.0
7.37995696068 -5.20744752884 1460 1440 -0.0 0.0 -19.162817359 -0.0
7.42962884903 -22.6398162842 1432 1382 -0.0 0.0 -50 -0.0
7.47928786278 -29.7089138031 1431 1409 -0.0 0.0 -21.2072925568 -0.0
7.5289440155 -48.2469139099 1431 1381 -0.0 0.0 -50 -0.0
7.57873988152 -58.5250968933 1422 1391 -0.0 0.0 -30.8345489502 -0.0
7.62849187851 -66.918296814 1422 1396 -0.0 0.0 -25.179599762 -0.0
7.67819595337 -66.918296814 1416 1416 -0.0 0.0 0.0 -0.0
7.72792482376 -66.918296814 1416 1416 -0.0 0.0 0.0 -0.0
7.77805089951 -66.918296814 1416 1416 -0.0 0.0 0.0 -0.0
7.82778096199 -66.918296814 1416 1416 -0.0 0.0 0.0 -0.0
7.87792301178 -66.918296814 1416 1416 -0.0 0.0 0.0 -0.0
7.92780303955 -115.041061401 1411 1416 -0.0 0.0 0.0 -0.0
7.97785496712 -115.041061401 1410 1410 -0.0 0.0 0.0 -0.0
8.0275478363 -115.041061401 1410 1410 -0.0 0.0 0.0 -0.0
8.07834601402 -115.041061401 1410 1410 -0.0 0.0 0.0 -0.0
8.12807488441 -115.041061401 1410 1410 -0.0 0.0 0.0 -0.0
8.17785096169 -101.805351257 1422 1449 -0.0 0.0 39.7071304321 -0.0
8.22739982605 -101.805351257 1431 1431 -0.0 0.0 0.0 -0.0
8.27733802795 -101.805351257 1437 1437 -0.0 0.0 0.0 -0.0
8.3269739151 -59.2821159363 1458 1508 -0.0 0.0 50 -0.0
8.37679696083 -59.2821159363 1480 1480 -0.0 0.0 0.0 -0.0
8.4265768528 -31.4246349335 1480 1530 -0.0 0.0 50 -0.0
8.47619700432 -31.4246349335 1480 1480 -0.0 0.0 0.0 -0.0
8.52583885193 27.6536846161 1480 1530 -0.0 0.0 50 -0.0
8.5758228302 27.6536846161 1480 1480 -0.0 0.0 0.0 -0.0
8.6252348423 74.2822647095 1480 1530 -0.0 0.0 50 -0.0
8.67496490479 90.0612030029 1480 1527 -0.0 0.0 47.3368148804 -0.0
8.72474503517 90.0612030029 1480 1480 -0.0 0.0 0.0 -0.0
8.77437186241 146.643463135 1480 1530 -0.0 0.0 50 -0.0
8.82394599915 176.910400391 1480 1530 -0.0 0.0 50 -0.0
8.87364196777 181.531158447 1480 1493 -0.0 0.0 13.8622741699 -0.0
8.92331886292 214.26574707 1480 1530 -0.0 0.0 50 -0.0
8.97305583954 230.679870605 1480 1529 -0.0 0.0 49.2423706055 -0.0
9.02272486687 256.865447998 1480 1530 -0.0 0.0 50 -0.0
9.07286095619 271.457763672 1480 1523 -0.0 0.0 43.7769470215 -0.0
9.12220287323 285.423858643 1480 1521 -0.0 0.0 41.8982849121 -0.0
9.17182898521 315.096862793 1480 1530 -0.0 0.0 50 -0.0
9.22153496742 324.795715332 1480 1509 -0.0 0.0 29.0965576172 -0.0
9.27134895325 334.98550415 1480 1510 -0.0 0.0 30.5693664551 -0.0
9.32290792465 347.976745605 1480 1502 -0.0 0.0 22.2993164062 -0.0
9.37320899963 352.889373779 1480 1511 -0.0 0.0 31.4122924805 -0.0
9.42213797569 358.193603516 1480 1495 -0.0 0.0 15.912689209 -0.0
9.47181487083 363.303436279 1480 1495 -0.0 0.0 15.329498291 -0.0
9.52165293694 368.97869873 1480 1497 -0.0 0.0 17.0257873535 -0.0
9.57158994675 370.589019775 1480 1484 -0.0 0.0 4.83096313477 -0.0
9.62110304832 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
9.67075204849 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
9.72045898438 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
9.77017998695 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
9.81998491287 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
9.8697309494 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
9.92116904259 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
9.97066688538 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.0203099251 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.0702488422 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.1201560497 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.1698479652 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.219769001 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.2691779137 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.3210589886 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.3689229488 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.4185488224 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.4682648182 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.518214941 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.5677959919 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.6174800396 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.6671869755 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.7168610096 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.7665739059 370.589019775 1480 1480 -0.0 0.0 0.0 -0.0
10.8162050247 155.432556152 1480 1430 -0.0 0.0 -50 -0.0
10.8679909706 132.13571167 1480 1430 -0.0 0.0 -50 -0.0
10.915583849 133.361282349 1480 1483 -0.0 0.0 3.67671203613 -0.0
10.965337038 112.129333496 1480 1430 -0.0 0.0 -50 -0.0
11.0149240494 88.7465896606 1480 1430 -0.0 0.0 -50 -0.0
11.0647218227 76.9034194946 1480 1444 -0.0 0.0 -35.529510498 -0.0
11.114428997 65.1961898804 1480 1444 -0.0 0.0 -35.1216888428 -0.0
11.1640868187 53.3467063904 1480 1444 -0.0 0.0 -35.54845047 -0.0
11.2139618397 30.9704055786 1480 1430 -0.0 0.0 -50 -0.0
11.263491869 22.5794906616 1480 1454 -0.0 0.0 -25.172744751 -0.0
11.3133969307 11.3923158646 1480 1446 -0.0 0.0 -33.5615243912 -0.0
11.3630928993 -0.240160822868 1480 1445 -0.0 0.0 -34.8974300623 -0.0
11.4128358364 -0.240160822868 1480 1480 -0.0 0.0 0.0 -0.0
11.4626450539 -31.8004779816 1480 1430 -0.0 0.0 -50 -0.0
11.5124030113 -50.9413032532 1480 1446 -0.0 0.0 -33.3435001373 -0.0
11.5621099472 -60.3965148926 1480 1430 -0.0 0.0 -50 -0.0
11.6119198799 -69.6612167358 1480 1452 -0.0 0.0 -27.7941055298 -0.0
11.6619720459 -66.8099822998 1480 1488 -0.0 0.0 8.55370330811 -0.0
11.7116808891 -94.3192825317 1480 1430 -0.0 0.0 -50 -0.0
11.761384964 -109.970779419 1480 1433 -0.0 0.0 -46.9544906616 -0.0
11.8109509945 -107.839958191 1480 1486 -0.0 0.0 6.39246368408 -0.0
11.8607430458 -124.25969696 1480 1430 -0.0 0.0 -49.2592163086 -0.0
11.910433054 -141.016357422 1480 1430 -0.0 0.0 -50 -0.0
11.9601759911 -149.002212524 1480 1456 -0.0 0.0 -23.9575653076 -0.0
12.0098469257 -153.475112915 1480 1466 -0.0 0.0 -13.4187011719 -0.0
12.0595338345 -169.761627197 1480 1431 -0.0 0.0 -48.8595428467 -0.0
12.109292984 -177.259063721 1480 1457 -0.0 0.0 -22.4923095703 -0.0
12.1593539715 -182.633605957 1480 1463 -0.0 0.0 -16.123626709 -0.0
12.2093198299 -189.456008911 1480 1459 -0.0 0.0 -20.4672088623 -0.0
12.2587208748 -211.264358521 1480 1430 -0.0 0.0 -50 -0.0
12.308565855 -211.264358521 1480 1480 -0.0 0.0 0.0 -0.0
12.3581969738 -211.264358521 1480 1480 -0.0 0.0 0.0 -0.0
12.4078788757 -223.117507935 1480 1444 -0.0 0.0 -35.5594482422 -0.0
12.4575798512 -235.204818726 1480 1443 -0.0 0.0 -36.261932373 -0.0
12.5072798729 -241.054412842 1480 1462 -0.0 0.0 -17.5487823486 -0.0
12.5572919846 -257.078186035 1472 1423 -0.0 0.0 -48.0713195801 -0.0
12.6067109108 -257.078186035 1437 1437 -0.0 0.0 0.0 -0.0
12.6566150188 -277.311981201 1431 1393 -0.0 0.0 -37.2744140625 -0.0
12.7063758373 -283.408416748 1431 1389 -0.0 0.0 -41.7162780762 -0.0
12.7559928894 -291.044677734 1431 1408 -0.0 0.0 -22.908782959 -0.0
12.8057010174 -301.74822998 1431 1398 -0.0 0.0 -32.1106567383 -0.0
12.8555119038 -305.592956543 1431 1419 -0.0 0.0 -11.5341796875 -0.0
12.9051508904 -315.59262085 1431 1401 -0.0 0.0 -29.9989929199 -0.0
12.9548079967 -321.037475586 1438 1414 -0.0 0.0 -16.334564209 -0.0
13.004529953 -322.769042969 1450 1444 -0.0 0.0 -5.19470214844 -0.0
13.0543429852 -326.197570801 1450 1439 -0.0 0.0 -10.2855834961 -0.0
13.1041269302 -337.552612305 1437 1432 -0.0 0.0 -4.58587646484 -0.0
13.1538388729 -337.552612305 1431 1401 -0.0 0.0 -29.4792480469 -0.0
13.2033669949 -325.518463135 1431 1467 -0.0 0.0 36.1024475098 -0.0
13.2531309128 -320.509399414 1431 1446 -0.0 0.0 15.0271911621 -0.0
13.3028168678 -318.086151123 1431 1438 -0.0 0.0 7.26974487305 -0.0
13.3524470329 -308.24395752 1431 1460 -0.0 0.0 29.5265808105 -0.0
13.4021229744 -302.088012695 1437 1455 -0.0 0.0 18.4678344727 -0.0
13.4518530369 -295.000488281 1437 1458 -0.0 0.0 21.2625732422 -0.0
13.5016129017 -280.040740967 1437 1481 -0.0 0.0 44.8792419434 -0.0
13.5513000488 -268.770355225 1437 1470 -0.0 0.0 33.8111572266 -0.0
13.6009418964 -257.06161499 1444 1479 -0.0 0.0 35.1262207031 -0.0
13.6505630016 -229.511978149 1480 1530 -0.0 0.0 50 -0.0
13.7003009319 -213.325714111 1480 1528 -0.0 0.0 48.5587921143 -0.0
13.749904871 -197.251953125 1480 1528 -0.0 0.0 48.221282959 -0.0
