Time           Y-Position    Roll  PID   P   I    D          Error

0.214725971222 86.3433456421 1494 1541 -0.0 0.0 47.8016738892 -0.0
0.264360904694 91.7949905396 1494 1510 -0.0 0.0 16.3549346924 -0.0
0.314110040665 107.217247009 1494 1540 -0.0 0.0 46.2667694092 -0.0
0.363807916641 117.251930237 1494 1524 -0.0 0.0 30.1040496826 -0.0
0.41348195076 128.511077881 1494 1527 -0.0 0.0 33.7774429321 -0.0
0.463140964508 128.511077881 1494 1494 -0.0 0.0 0.0 -0.0
0.512876033783 147.808761597 1494 1494 -0.0 0.0 0.0 -0.0
0.562594890594 152.835403442 1494 1544 -0.0 0.0 50 -0.0
0.612340927124 163.147155762 1494 1524 -0.0 0.0 30.935256958 -0.0
0.662127971649 170.356842041 1494 1515 -0.0 0.0 21.6290588379 -0.0
0.711818933487 173.409042358 1494 1503 -0.0 0.0 9.15660095215 -0.0
0.7614569664 183.556945801 1494 1524 -0.0 0.0 30.4437103271 -0.0
0.811195850372 187.348175049 1494 1505 -0.0 0.0 11.3736877441 -0.0
0.860847949982 187.348175049 1494 1494 -0.0 0.0 0.0 -0.0
0.910629987717 202.098571777 1494 1538 -0.0 0.0 44.2511901855 -0.0
0.960283994675 209.223724365 1494 1515 -0.0 0.0 21.3754577637 -0.0
1.01001787186 211.652313232 1494 1501 -0.0 0.0 7.28576660156 -0.0
1.05990195274 211.652313232 1494 1494 -0.0 0.0 0.0 -0.0
1.10974192619 211.652313232 1494 1494 -0.0 0.0 0.0 -0.0
1.1593940258 217.749282837 1494 1512 -0.0 0.0 18.2909088135 -0.0
1.20917582512 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.25890183449 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.30870985985 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.35836291313 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.40834283829 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.45806789398 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.50785684586 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.5578649044 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.60742497444 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.65715694427 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.70687484741 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.7567050457 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.80639386177 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.85607981682 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.90590596199 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
1.95550084114 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
2.00518989563 217.749282837 1494 1494 -0.0 0.0 0.0 -0.0
2.05485296249 73.090675354 1494 1494 -0.0 0.0 0.0 -0.0
2.104626894 73.090675354 1494 1444 -0.0 0.0 -50 -0.0
2.15455794334 73.090675354 1494 1494 -0.0 0.0 0.0 -0.0
2.20429396629 25.911529541 1494 1494 -0.0 0.0 0.0 -0.0
2.25398683548 13.1552724838 1494 1444 -0.0 0.0 -50 -0.0
2.3036839962 -0.441100865602 1494 1455 -0.0 0.0 -38.2687711716 -0.0
2.35336685181 -0.441100865602 1494 1453 -0.0 0.0 -40.7891200483 -0.0
2.40311193466 -0.441100865602 1494 1494 -0.0 0.0 0.0 -0.0
2.45290184021 -0.441100865602 1494 1494 -0.0 0.0 0.0 -0.0
2.5025908947 -0.441100865602 1494 1494 -0.0 0.0 0.0 -0.0
2.55235004425 -87.0103378296 1494 1494 -0.0 0.0 0.0 -0.0
2.60208392143 -100.444091797 1494 1444 -0.0 0.0 -50 -0.0
2.65172982216 -100.444091797 1494 1453 -0.0 0.0 -40.3012619019 -0.0
2.70145082474 -100.444091797 1494 1494 -0.0 0.0 0.0 -0.0
2.75112986565 -100.444091797 1494 1494 -0.0 0.0 0.0 -0.0
2.80085587502 -170.645202637 1494 1494 -0.0 0.0 0.0 -0.0
2.85050702095 -170.645202637 1494 1444 -0.0 0.0 -50 -0.0
2.90021586418 -191.168991089 1494 1494 -0.0 0.0 0.0 -0.0
