Time           X-Position    Pitch PID   P   I    D          Error

0.228770971298 72.6020050049 1490 1523 -0.0 0.0 33.1039123535 -0.0
0.274762868881 72.7423782349 1490 1488 -0.0 0.0 -1.95231628418 -0.0
0.324292898178 72.6388626099 1490 1458 -0.0 0.0 -31.1515960693 -0.0
0.373790025711 72.0606689453 1490 1521 -0.0 0.0 31.4861068726 -0.0
0.423712015152 61.7776527405 1490 1491 -0.0 0.0 1.47013092041 -0.0
0.473382949829 72.175201416 1490 1457 -0.0 0.0 -32.956237793 -0.0
0.522939920425 72.401512146 1490 1523 -0.0 0.0 33.2917327881 -0.0
0.572767972946 72.0995941162 1490 1488 -0.0 0.0 -1.84419250488 -0.0
0.622548818588 72.6388626099 1490 1490 -0.0 0.0 0.947639465332 -0.0
0.672288894653 72.372215271 1490 1457 -0.0 0.0 -32.4090843201 -0.0
0.722059965134 61.6572799683 1490 1521 -0.0 0.0 31.957157135 -0.0
0.771770000458 72.9778671265 1490 1458 -0.0 0.0 -31.3852615356 -0.0
0.82159781456 73.0488739014 1490 1489 -0.0 0.0 -0.470512390137 -0.0
0.871253013611 72.7211685181 1490 1522 -0.0 0.0 32.2261962891 -0.0
0.92115688324 72.7832946777 1490 1492 -0.0 0.0 2.20323944092 -0.0
0.97102189064 72.4213790894 1490 1455 -0.0 0.0 -34.357749939 -0.0
1.02080392838 72.1236190796 1490 1522 -0.0 0.0 32.9447479248 -0.0
1.07083487511 71.7182159424 1490 1488 -0.0 0.0 -1.80354309082 -0.0
1.12081885338 72.1862411499 1490 1490 -0.0 0.0 0.0369415283203 -0.0
1.17031288147 61.0226783752 1490 1489 -0.0 0.0 -0.468521118164 -0.0
1.22029781342 72.036605835 1490 1457 -0.0 0.0 -32.1640205383 -0.0
1.26982092857 71.896812439 1490 1522 -0.0 0.0 32.4590034485 -0.0
1.31945490837 71.992149353 1490 1490 -0.0 0.0 0.0 -0.0
1.3691649437 72.1781158447 1490 1490 -0.0 0.0 0.0 -0.0
1.41890883446 72.1879348755 1490 1490 -0.0 0.0 0.870254516602 -0.0
1.46889901161 72.0652694702 1490 1489 -0.0 0.0 -0.151405334473 -0.0
1.51850581169 72.5844268799 1490 1490 -0.0 0.0 0.410270690918 -0.0
1.56804084778 72.8421859741 1490 1457 -0.0 0.0 -32.8213691711 -0.0
1.61768102646 72.8394927979 1490 1524 -0.0 0.0 34.2342796326 -0.0
1.66750693321 61.5121231079 1490 1489 -0.0 0.0 -0.844207763672 -0.0
1.71719479561 61.3159103394 1490 1489 -0.0 0.0 -0.99877166748 -0.0
1.76681900024 61.5121231079 1490 1458 -0.0 0.0 -31.9169883728 -0.0
1.81665086746 61.5456924438 1490 1489 -0.0 0.0 -0.20902633667 -0.0
1.86634588242 61.4248428345 1490 1522 -0.0 0.0 32.4222106934 -0.0
